First Name;Last Name;Company Name;Role In Company;Address;E-Mail;Phone Number;;;;;;;;;;;;;;
"Holly";"Allen";"Sugarwell";"Plumber";"9124 main street";"hallen@sugarwell.enterprises";"93305772203";
"Elliott";"Marshall";"Stryker";"Cement Mason & Concrete Finisher";"2069 london road";"emarshall@stryker.recipes";"95535859768";
"Matilda";"Carr";"The Container Store";"Real Estate Agent";"9656 west street";"mcarr@thecontainerstore.deals";"10674134930";
"Lydia";"Watts";"Baird";"Sports Coach";"8374 park road";"lwatts@baird.vet";"95946938307";
"Tommy";"Reid";"AT&T";"Maintenance & Repair Worker";"8693 the avenue";"treid@at&t.fit";"17534842160";
"Freya";"Hughes";"FedEx";"School Psychologist";"2221 manor road";"fhughes@fedex.network";"77411321224";
"Alice";"Day";"AT&T";"Accountant";"8444 the grove";"aday@at&t.auction";"63204943174";
"Lexi";"Griffiths";"Cooley";"Accountant";"8572 springfield road";"lgriffiths@cooley.kiwi";"92345478595";
"Isabel";"Cox";"Whole Foods Market";"Auto Mechanic";"5546 queens road";"icox@wholefoodsmarket.life";"54220933364";
"Connor";"Davis";"EY";"Pharmacist";"5637 church street";"cdavis@ey.ceo";"99533704249";
"Dylan";"Parsons";"Hilton";"Programmer";"7996 queen street";"dparsons@hilton.fans";"67699956847";
"Heidi";"Walton";"Camden Property Trust";"Accountant";"9452 kings road";"hwalton@camdenpropertytrust.website";"16862620902";
"Grace";"Carter";"TDIndustries";"Sales Representative";"2069 london road";"gcarter@tdindustries.cafe";"57900025635";
"Violet";"Reed";"Scripps Health";"Middle School Teacher";"6344 high street";"vreed@scrippshealth.computer";"58894489998";
"Dexter";"Berry";"Nugget Market";"IT Specialist";"8700 new street";"dberry@nuggetmarket.org.uk";"55726526142";
"Owen";"Curtis";"Mayo Clinic";"Marriage & Family Therapist";"8128 windsor road";"ocurtis@mayoclinic.scot";"32350582308";
"Ava";"Collins";"AT&T";"Computer Systems Administrator";"4630 kings road";"acollins@at&t.golf";"72585677891";
"Jake";"Reed";"IKEA Holding U.S.";"Medical Assistant";"5602 station road";"jreed@ikeaholdingus.cards";"59073767382";
"Robert";"Roberts";"Nordstrom";"Loan Officer";"6151 alexander road";"rroberts@nordstrom.coupons";"43060381514";
"Max";"Page";"Nationwide";"Advisor";"9178 north street";"mpage@nationwide.tech";"68484083344";
